URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
18,https://insights.blackcoffer.com/what-are-the-challenges-and-acceptance-of-e-learning-during-the-covid-19-for-students-and-teachers/,20,14,0.176470583,0.133333333,5.425531915,0.2,2.250212766,5.425531915,51,255,1.815686275,0,0.039215686
19,https://insights.blackcoffer.com/problems-faced-by-students-in-online-classes-during-covid-19/,29,30,-0.016949152,0.128540305,12.75,0.252723312,5.201089325,12.75,116,459,1.989106754,0,0.021786492
20,https://insights.blackcoffer.com/impact-of-covid-19-on-engineering-and-medical-college-during-this-pandemic-lockdown/,10,23,-0.393939382,0.131999999,6.578947368,0.176,2.701978947,6.578947368,44,250,1.812,0,0.04
21,https://insights.blackcoffer.com/how-is-login-logout-time-tracking-for-employees-in-office-done-by-ai/,13,7,0.299999985,0.086206896,12.21052632,0.280172414,4.996279492,12.21052632,65,232,2.077586207,0,0.043103448
22,https://insights.blackcoffer.com/how-does-ai-help-to-monitor-retail-shelf-watches/,17,3,0.699999965,0.087719298,10.85714286,0.337719298,4.477944862,10.85714286,77,228,2.162280702,0,0.043859649
23,https://insights.blackcoffer.com/ai-and-its-impact-on-the-fashion-industry/,49,17,0.484848478,0.105263158,16.07692308,0.322169059,6.559636854,16.07692308,202,627,2.148325359,0,0.015948963
24,https://insights.blackcoffer.com/how-do-deep-learning-models-predict-old-and-new-drugs-that-are-successfully-treated-in-healthcare/,10,0,0.9999999,0.060975609,13.66666667,0.335365854,5.600813008,13.66666667,55,164,2.18902439,0,0.06097561
25,https://insights.blackcoffer.com/how-artificial-intelligence-can-boost-your-productivity-level/,28,12,0.39999999,0.105820106,8.042553191,0.285714286,3.331306991,8.042553191,108,378,2.079365079,0,0.026455026
26,https://insights.blackcoffer.com/how-are-genetic-sequencing-maps-affected-by-deep-learning-and-ai/,30,10,0.499999988,0.113636363,9.513513514,0.355113636,3.94745086,9.513513514,125,352,2.241477273,0,0.028409091
27,https://insights.blackcoffer.com/how-is-ai-used-to-solve-traffic-management/,34,25,0.15254237,0.143902439,8.541666667,0.331707317,3.549349593,8.541666667,136,410,2.151219512,0,0.024390244
28,https://insights.blackcoffer.com/benefits-of-big-data-in-different-fields/,39,13,0.49999999,0.1,11.06382979,0.336538462,4.5601473,11.06382979,175,520,2.213461538,0,0.019230769
29,https://insights.blackcoffer.com/how-big-data-will-impact-the-future-of-business/,43,8,0.686274496,0.105590062,8.781818182,0.32505176,3.642747977,8.781818182,157,483,2.144927536,0,0.020703934
30,https://insights.blackcoffer.com/how-will-ai-make-decisions-in-tomorrows-wars/,14,18,-0.124999996,0.173913043,6.814814815,0.288043478,2.841143317,6.814814815,53,184,2.076086957,0,0.054347826
31,https://insights.blackcoffer.com/which-one-is-better-ai-or-big-data/,13,4,0.529411734,0.085427135,9.95,0.306532663,4.102613065,9.95,61,199,2.155778894,0,0.050251256
32,https://insights.blackcoffer.com/how-robots-can-help-in-e-learning-platforms/,23,25,-0.041666666,0.13079019,6.796296296,0.264305177,2.824240589,6.796296296,97,367,2.013623978,0,0.027247956
33,https://insights.blackcoffer.com/how-does-big-data-help-in-finance-and-the-growth-of-large-firms/,20,17,0.081081079,0.115625,6.530612245,0.2875,2.727244898,6.530612245,92,320,2.084375,0,0.03125
34,https://insights.blackcoffer.com/future-of-work-robot-ai-and-automation/,11,5,0.374999977,0.074766355,9.304347826,0.327102804,3.852580252,9.304347826,70,214,2.177570093,0,0.046728972
35,https://insights.blackcoffer.com/how-ai-will-help-the-defense-power-of-a-country/,21,35,-0.249999996,0.143589743,5,0.271794872,2.108717949,5,106,390,2.058974359,0,0.025641026
36,https://insights.blackcoffer.com/future-of-ai-and-machine-roles-in-the-medical-sector/,19,12,0.225806444,0.107266436,13.13636364,0.280276817,5.366656181,13.13636364,81,289,2.044982699,0,0.034602076
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,43,26,0.246376808,0.107309487,12.86,0.351477449,5.28459098,12.86,226,643,2.244167963,0,0.0155521
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,37,28,0.138461536,0.176151761,5.676923077,0.311653117,2.395430477,5.676923077,115,369,2.075880759,0,0.027100271
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,47,24,0.323943657,0.134215501,8.265625,0.338374291,3.441599716,8.265625,179,529,2.200378072,0,0.018903592
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,33,19,0.269230764,0.125,5.473684211,0.257211538,2.2923583,5.473684211,107,416,1.992788462,0,0.024038462
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,34,24,0.17241379,0.108614232,9.709090909,0.290262172,3.999741233,9.709090909,155,534,2.058052434,0,0.018726592
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,29,23,0.115384613,0.12967581,8.717391304,0.309226933,3.610647295,8.717391304,124,401,2.104738155,0,0.024937656
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,14,9,0.217391295,0.115577889,4.853658537,0.311557789,2.06608653,4.853658537,62,199,2.140703518,0,0.050251256
44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,38,18,0.357142851,0.137931034,7.25,0.327586207,3.031034483,7.25,133,406,2.137931034,0,0.024630542
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,21,13,0.235294111,0.171717171,6.6,0.176767677,2.710707071,6.6,35,198,1.772727273,0,0.050505051
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,42,28,0.199999997,0.121527778,8.727272727,0.310763889,3.615214646,8.727272727,179,576,2.131944444,0,0.017361111
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,30,37,-0.10447761,0.127862595,6.022988506,0.244274809,2.506905326,6.022988506,128,524,1.942748092,0,0.019083969
48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,25,13,0.315789465,0.1,9.5,0.334210526,3.933684211,9.5,127,380,2.184210526,0,0.026315789
49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,23,20,0.06976744,0.116531165,5.676923077,0.265582656,2.377002293,5.676923077,98,369,2.037940379,0,0.027100271
50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,35,19,0.296296291,0.130434782,12.17647059,0.306763285,4.993293549,12.17647059,127,414,2.128019324,0,0.024154589
51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,45,15,0.499999992,0.122199592,9.442307692,0.289205703,3.892605358,9.442307692,142,491,2.057026477,0,0.020366599
52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,21,0,0.999999952,0.118644067,10.41176471,0.310734463,4.288999668,10.41176471,55,177,2.09039548,0,0.056497175
53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,45,28,0.232876709,0.16043956,56.875,0.287912088,22.86516484,56.875,131,455,2.052747253,0,0.021978022
54,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,18,0,0.999999944,0.066914498,8.40625,0.271375465,3.471050186,8.40625,73,269,1.985130112,0,0.037174721
55,https://insights.blackcoffer.com/evolution-of-advertising-industry/,14,5,0.473684186,0.07755102,12.89473684,0.293877551,5.275445757,12.89473684,72,245,2.008163265,0,0.040816327
56,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,3,4,-0.142857122,0.062499999,56,0.232142857,22.49285714,56,26,112,1.991071429,0,0.089285714
57,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,27,36,-0.142857141,0.179999999,8.139534884,0.26,3.359813953,8.139534884,91,350,1.971428571,0,0.028571429
58,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,20,40,-0.333333328,0.141509434,10.6,0.271226415,4.348490566,10.6,115,424,1.992924528,0,0.023584906
59,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,11,8,0.157894729,0.087155963,9.083333333,0.298165138,3.752599388,9.083333333,65,218,2.073394495,0,0.04587156
60,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,20,13,0.212121206,0.091160221,4.209302326,0.342541436,1.820737505,4.209302326,124,362,2.151933702,0,0.027624309
61,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,29,3,0.812499975,0.148148147,7.448275862,0.305555556,3.101532567,7.448275862,66,216,2.083333333,0,0.046296296
62,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,4,1,0.59999988,0.037878788,9.428571429,0.196969697,3.85021645,9.428571429,26,132,1.803030303,0,0.075757576
63,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,22,9,0.419354825,0.090909091,12.62962963,0.202346041,5.132790268,12.62962963,69,341,1.841642229,0,0.029325513
64,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,17,7,0.416666649,0.093023255,23.45454545,0.294573643,9.499647639,23.45454545,76,258,2.108527132,0,0.03875969
65,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,12,9,0.142857136,0.198113206,4.416666667,0.301886792,1.887421384,4.416666667,32,106,2.066037736,0,0.094339623
66,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,4,0,0.99999975,0.057142856,7.777777778,0.357142857,3.253968254,7.777777778,25,70,2.214285714,0,0.142857143
67,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,16,23,-0.179487175,0.183098591,3.803571429,0.215962441,1.607813548,3.803571429,46,213,1.877934272,0,0.046948357
68,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,5,2,0.428571367,0.094594593,14.8,0.162162162,5.984864865,14.8,12,74,1.891891892,0,0.135135135
69,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,28,16,0.272727267,0.106796116,11.44444444,0.322815534,4.706903991,11.44444444,133,412,2.167475728,0,0.024271845
70,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,6,12,-0.333333315,0.11392405,7.9,0.335443038,3.294177215,7.9,53,158,2.037974684,0,0.063291139
71,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,18,32,-0.279999994,0.176056337,7.282051282,0.267605634,3.019862766,7.282051282,76,284,2.024647887,0,0.035211268
72,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,19,37,-0.321428566,0.100719424,11.12,0.348920863,4.587568345,11.12,194,556,2.214028777,0,0.017985612
73,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,30,20,0.199999996,0.106837607,11.7,0.297008547,4.798803419,11.7,139,468,2.032051282,0,0.021367521
74,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,25,23,0.041666666,0.105263158,6.422535211,0.282894737,2.682171979,6.422535211,129,456,1.99122807,0,0.021929825
75,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,17,7,0.416666649,0.119999999,3.703703704,0.3,1.601481481,3.703703704,60,200,2.085,0,0.05
76,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,24,6,0.59999998,0.098360655,4.919354839,0.275409836,2.07790587,4.919354839,84,305,2.026229508,0,0.032786885
77,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,18,5,0.565217367,0.211009172,7.785714286,0.366972477,3.261074705,7.785714286,40,109,2.137614679,0,0.091743119
78,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,24,13,0.297297289,0.080610022,11.19512195,0.307189542,4.600924597,11.19512195,141,459,2.111111111,0,0.021786492
79,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,18,47,-0.446153839,0.218855218,5.120689655,0.228956229,2.139858354,5.120689655,68,297,1.929292929,0,0.033670034
80,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,17,17,0,0.141078838,4.155172414,0.199170124,1.741737015,4.155172414,48,241,1.771784232,0,0.041493776
81,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,13,23,-0.27777777,0.129032258,9.620689655,0.218637993,3.935731059,9.620689655,61,279,1.849462366,0,0.035842294
82,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,18,18,0,0.087378641,9.80952381,0.325242718,4.053906611,9.80952381,134,412,2.152912621,0,0.024271845
83,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,18,54,-0.499999993,0.225705328,5.229508197,0.231974922,2.184593247,5.229508197,74,319,1.94984326,0,0.031347962
84,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,25,24,0.020408163,0.123425692,10.72972973,0.251889169,4.392647559,10.72972973,100,397,2,0,0.025188917
85,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,10,10,0,0.093023255,10.23809524,0.302325581,4.216168328,10.23809524,65,215,2.041860465,0,0.046511628
86,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,19,21,-0.049999999,0.108108108,12.75862069,0.308108108,5.226691519,12.75862069,114,370,2.135135135,0,0.027027027
87,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,21,38,-0.288135588,0.119433198,10.73913043,0.259109312,4.399295899,10.73913043,128,494,1.969635628,0,0.020242915
88,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,16,8,0.333333319,0.042253521,24.69565217,0.177816901,9.94938763,24.69565217,101,568,1.762323944,0,0.017605634
89,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,28,32,-0.066666666,0.118811881,8.14516129,0.291089109,3.37450016,8.14516129,147,505,2.053465347,0,0.01980198
90,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,21,39,-0.299999995,0.131004367,9.346938776,0.360262009,3.882880314,9.346938776,165,458,2.209606987,0,0.021834061
91,https://insights.blackcoffer.com/human-rights-outlook/,3,3,0,0.09090909,16.5,0.181818182,6.672727273,16.5,12,66,1.818181818,0,0.151515152
92,https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,24,4,0.714285689,0.105660377,7.361111111,0.21509434,3.03048218,7.361111111,57,265,1.890566038,0,0.037735849
93,https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,19,29,-0.208333329,0.109339407,4.221153846,0.296127563,1.806912564,4.221153846,130,439,2.093394077,0,0.022779043
94,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,38,15,0.433962256,0.102912621,7.686567164,0.273786408,3.184141429,7.686567164,141,515,1.996116505,0,0.019417476
95,https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,14,22,-0.222222216,0.109756097,9.371428571,0.268292683,3.855888502,9.371428571,88,328,2.006097561,0,0.030487805
96,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,16,25,-0.21951219,0.091111111,12.16216216,0.344444444,5.002642643,12.16216216,155,450,2.155555556,0,0.022222222
97,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,13,28,-0.36585365,0.129746835,9.875,0.234177215,4.043670886,9.875,74,316,1.917721519,0,0.03164557
98,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,26,26,0,0.15116279,5.292307692,0.290697674,2.233202147,5.292307692,100,344,2.002906977,0,0.029069767
99,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,16,19,-0.085714283,0.104477612,11.16666667,0.304477612,4.588457711,11.16666667,102,335,2.104477612,0,0.029850746
100,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,17,38,-0.381818175,0.120614035,16.88888889,0.26754386,6.862573099,16.88888889,122,456,1.964912281,0,0.021929825
101,https://insights.blackcoffer.com/travel-and-tourism-outlook/,3,3,0,0.089552237,11.16666667,0.134328358,4.52039801,11.16666667,9,67,1.671641791,0,0.149253731
102,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,22,38,-0.266666662,0.159574468,8.355555556,0.242021277,3.439030733,8.355555556,91,376,1.933510638,0,0.026595745
103,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,5,22,-0.629629606,0.117391304,12.77777778,0.191304348,5.18763285,12.77777778,44,230,1.908695652,0,0.043478261
104,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,17,36,-0.358490559,0.151428571,7.954545455,0.351428571,3.32238961,7.954545455,123,350,2.185714286,0,0.028571429
105,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,14,26,-0.299999993,0.16064257,9.576923077,0.21686747,3.917516219,9.576923077,54,249,1.86746988,0,0.040160643
106,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,5,3,0.249999969,0.057142857,15.55555556,0.328571429,6.353650794,15.55555556,46,140,2.157142857,0,0.071428571
107,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,10,3,0.538461497,0.075581395,7.818181818,0.238372093,3.222621564,7.818181818,41,172,1.86627907,0,0.058139535
108,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,20,43,-0.365079359,0.169354838,19.57894737,0.295698925,7.949858517,19.57894737,110,372,2.043010753,0,0.02688172
109,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis/,18,17,0.028571428,0.186170212,11.75,0.170212766,4.768085106,11.75,32,188,1.654255319,0,0.053191489
110,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding/,6,28,-0.647058804,0.099706745,14.20833333,0.272727273,5.792424242,14.20833333,93,341,1.93255132,0,0.029325513
111,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-2/,13,24,-0.297297289,0.132616487,7.342105263,0.272401434,3.045802679,7.342105263,76,279,2.017921147,0,0.035842294
112,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-3/,20,51,-0.436619712,0.166276346,10.16666667,0.276346604,4.177205308,10.16666667,118,427,2.039812646,0,0.023419204
113,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-3/,19,32,-0.254901956,0.129441624,11.58823529,0.269035533,4.742908331,11.58823529,106,394,1.989847716,0,0.025380711
114,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work/,23,30,-0.132075469,0.127098321,6.725806452,0.251798561,2.791042005,6.725806452,105,417,1.966426859,0,0.023980815
115,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding-2/,15,33,-0.374999992,0.09073724,10.37254902,0.310018904,4.273027169,10.37254902,164,529,2.103969754,0,0.018903592
116,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-4/,7,16,-0.391304331,0.11442786,20.1,0.144278607,8.097711443,20.1,29,201,1.701492537,0,0.049751244
117,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-2/,31,43,-0.16216216,0.133093525,12.93023256,0.293165468,5.28935921,12.93023256,163,556,2.044964029,0,0.017985612
118,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-3/,18,36,-0.333333327,0.181208053,4.73015873,0.204697987,1.973942687,4.73015873,61,298,1.818791946,0,0.033557047
119,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-4/,5,9,-0.285714265,0.122807016,11.4,0.315789474,4.686315789,11.4,36,114,2.122807018,0,0.087719298
120,https://insights.blackcoffer.com/why-scams-like-nirav-modi-happen-with-indian-banks/,32,47,-0.189873415,0.125796178,8.155844156,0.292993631,3.379535115,8.155844156,184,628,2.100318471,0,0.015923567
121,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy/,30,42,-0.166666664,0.19047619,6.75,0.203703704,2.781481481,6.75,77,378,1.825396825,0,0.026455026
122,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy-2/,21,43,-0.343749995,0.120754717,8.68852459,0.237735849,3.570504176,8.68852459,126,530,1.91509434,0,0.018867925
123,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy-2/,31,55,-0.279069764,0.157509157,16.05882353,0.250915751,6.523895712,16.05882353,137,546,1.948717949,0,0.018315018
124,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-3/,35,45,-0.124999998,0.141843971,12.53333333,0.312056738,5.138156028,12.53333333,176,564,2.111702128,0,0.017730496
125,https://insights.blackcoffer.com/should-celebrities-be-allowed-to-join-politics/,45,18,0.428571422,0.113309352,10.2962963,0.287769784,4.233626432,10.2962963,160,556,1.992805755,0,0.017985612
126,https://insights.blackcoffer.com/how-prepared-is-india-to-tackle-a-possible-covid-19-outbreak/,13,21,-0.235294111,0.136546184,8.586206897,0.277108434,3.545326132,8.586206897,69,249,2.032128514,0,0.040160643
127,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work/,26,58,-0.380952376,0.187082405,8.803921569,0.31403118,3.6471811,8.803921569,141,449,2.091314031,0,0.022271715
128,https://insights.blackcoffer.com/controversy-as-a-marketing-strategy/,22,22,0,0.156583629,7.594594595,0.213523132,3.123247091,7.594594595,60,281,1.854092527,0,0.035587189
129,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry/,3,20,-0.739130403,0.102222222,12.5,0.231111111,5.092444444,12.5,52,225,1.871111111,0,0.044444444
130,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets/,16,39,-0.418181811,0.124434389,44.2,0.253393665,17.78135747,44.2,112,442,1.893665158,0,0.022624434
131,https://insights.blackcoffer.com/what-are-the-key-policies-that-will-mitigate-the-impacts-of-covid-19-on-the-world-of-work/,51,26,0.32467532,0.131399317,9.766666667,0.281569966,4.019294653,9.766666667,165,586,2.02559727,0,0.017064846
132,https://insights.blackcoffer.com/marketing-drives-results-with-a-focus-on-problems/,16,18,-0.058823528,0.081534772,7.722222222,0.242206235,3.185771383,7.722222222,101,417,1.90647482,0,0.023980815
133,https://insights.blackcoffer.com/continued-demand-for-sustainability/,27,23,0.079999998,0.123762376,11.54285714,0.351485149,4.757736917,11.54285714,142,404,2.20049505,0,0.024752475
134,https://insights.blackcoffer.com/coronavirus-disease-covid-19-effect-the-impact-and-role-of-mass-media-during-the-pandemic/,8,13,-0.238095227,0.143835615,12.16666667,0.349315068,5.006392694,12.16666667,51,146,2.321917808,0,0.068493151
135,https://insights.blackcoffer.com/should-people-wear-fabric-gloves-seeking-evidence-regarding-the-differential-transfer-of-covid-19-or-coronaviruses-generally-between-surfaces/,5,7,-0.166666653,0.13186813,6.5,0.120879121,2.648351648,6.5,11,91,1.637362637,0,0.10989011
136,https://insights.blackcoffer.com/why-is-there-a-severe-immunological-and-inflammatory-explosion-in-those-affected-by-sarms-covid-19/,0,11,-0.999999909,0.098214285,8.615384615,0.339285714,3.581868132,8.615384615,38,112,2.178571429,0,0.089285714
